name,gms,3pm,mpg,ppg,rpg,apg,spg,bpg,fgPercent,ftPercent,to,fgm,fga,3pa,3ppercent,3perGame,status
Ray Allen,1300,2973,35.6,18.8,4.1,3.4,1.1,0.2,45.2,89.4,2.1,6.6,14.6,5.7,0.4,2.29,retired
Reggie Miller,1389,2560,34.3,18.2,3,3,1.1,0.2,47.1,88.8,1.7,5.9,12.6,4.7,0.395,1.84,retired
Jason Terry,1335,2216,30.5,13.9,2.4,4,1.2,0.2,44.4,84.5,1.8,5.1,11.5,4.4,0.38,1.66,active
Paul Pierce,1331,2138,34.4,19.8,5.6,3.5,1.3,0.6,44.5,80.7,2.6,6.5,14.6,4.4,0.369,1.61,active
Kyle Korver,1018,2017,26.6,10,3.1,1.8,0.7,0.3,44.4,87.9,1.1,3.5,7.8,4.6,0.431,1.98,active
Vince Carter,1327,2013,32.1,18.4,4.6,3.4,1.1,0.6,43.8,79.9,1.8,6.6,15.2,4.1,0.373,1.52,active
Jamal Crawford,1159,2013,30.7,15.4,2.4,3.5,0.9,0.2,41,86.1,1.9,5.3,13,5,0.349,1.74,active
Jason Kidd,1391,1988,36,12.6,6.3,8.7,1.9,0.3,40,78.5,2.9,4.5,11.2,4.1,0.349,1.43,retired
Joe Johnson,1202,1903,35.4,16.5,4,4.1,0.9,0.2,44.2,80.1,2,6.3,14.3,4.2,0.373,1.58,active
Chauncey Billups,1043,1830,31.6,15.2,2.9,5.4,1,0.2,41.5,89.4,2,4.5,10.9,4.5,0.387,1.75,retired
Kobe Bryant,1346,1827,36.1,25,5.2,4.7,1.4,0.5,44.7,83.7,3,8.7,19.5,4.1,0.329,1.36,retired
Stephen Curry,554,1826,34.7,22.7,4.3,6.8,1.8,0.2,47.6,90.3,3.2,8,16.7,7.5,0.438,3.3,active
Rashard Lewis,1049,1787,32,14.9,5.2,1.7,1.1,0.5,45.2,80.5,1.5,5.4,11.9,4.4,0.386,1.7,retired
Peja Stojakovic,804,1760,33.5,17,4.7,1.8,0.9,0.1,45,89.5,1.4,6,13.3,5.5,0.401,2.19,retired
Dirk Nowitzki,1373,1750,35,21.8,7.8,2.5,0.8,0.9,47.3,87.9,1.7,7.7,16.3,3.3,0.382,1.27,active
J.R. Smith,860,1729,26.9,13.1,3.2,2.2,1,0.2,42.1,73.4,1.4,4.7,11.2,5.4,0.375,2.01,active
Dale Ellis,1209,1719,28.8,15.7,3.5,1.4,0.8,0.2,47.9,78.4,1.5,6.1,12.6,3.5,0.403,1.42,retired
Steve Nash,1217,1685,31.3,14.3,3,8.5,0.7,0.1,49,90.4,2.9,5.2,10.6,3.2,0.428,1.38,retired
Jason Richardson,857,1608,34.1,17.1,5,2.7,1.2,0.4,43.8,70.7,1.8,6.5,14.8,5.1,0.37,1.88,retired
Mike Miller,1028,1588,27,10.7,4.2,2.6,0.6,0.2,45.9,76.9,1.5,3.9,8.5,3.8,0.407,1.54,active
Glen Rice,1000,1559,35,18.3,4.4,2.1,1,0.3,45.6,84.6,1.7,6.8,14.9,3.9,0.4,1.56,retired
Eddie Jones,954,1546,34.4,14.8,4,2.9,1.7,0.6,43.7,80.9,1.6,5.2,11.8,4.3,0.373,1.62,retired
Tim Hardaway,867,1542,35.3,17.7,3.3,8.2,1.6,0.1,43.1,78.2,2.9,6.5,15.1,5,0.355,1.78,retired
Nick Van Exel,880,1528,32.9,14.4,2.9,6.6,0.8,0.1,40.5,79.4,2.1,5.3,13,4.9,0.357,1.74,retired
Mike Bibby,1001,1517,33.9,14.7,3.1,5.5,1.2,0.1,43.6,80.2,2.1,5.4,12.4,4,0.379,1.52,retired
